quiz_id,course_id,type,title,n,time_limit_sec,version,published,visibility,publish_at,unpublish_at,notes
RN_SURG-L-T3,RN_SURG,TIMED,Surgery & Surgical Nursing | NMC Fast Track Mock |  Set 3,180,10800,1,FALSE,hidden,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RN_SURG-L-T4,RN_SURG,TIMED,Surgery & Surgical Nursing | NMC Fast Track Mock |  Set 4,180,10800,1,FALSE,hidden,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RN_SURG-L-T5,RN_SURG,TIMED,Surgery & Surgical Nursing | NMC Fast Track Mock |  Set 5,180,10800,1,FALSE,hidden,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
,,,,,,,,,,,
RN_SURG-F-I1,RN_SURG,INSTANT,Surgery & Surgical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RN_SURG-F-I2,RN_SURG,INSTANT,Surgery & Surgical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RN_SURG-F-I3,RN_SURG,INSTANT,Surgery & Surgical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RN_SURG-F-I4,RN_SURG,INSTANT,Surgery & Surgical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RN_SURG-F-I5,RN_SURG,INSTANT,Surgery & Surgical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RM_PED_OBS_HRN-F-T1,RM_PED_OBS_HRN,TIMED,"Paediatric, Obstetric Anatomy, & High-Risk Neonates  | NMC Licenseure Exams  | Set 1",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_PED_OBS_HRN-F-T2,RM_PED_OBS_HRN,TIMED,"Paediatric, Obstetric Anatomy, & High-Risk Neonates  | NMC Licenseure Exams  | Set 2",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_PED_OBS_HRN-F-T3,RM_PED_OBS_HRN,TIMED,"Paediatric, Obstetric Anatomy, & High-Risk Neonates  | NMC Licenseure Exams  | Set 3",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_PED_OBS_HRN-F-T4,RM_PED_OBS_HRN,TIMED,"Paediatric, Obstetric Anatomy, & High-Risk Neonates  | NMC Licenseure Exams  | Set 4",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_PED_OBS_HRN-F-T5,RM_PED_OBS_HRN,TIMED,"Paediatric, Obstetric Anatomy, & High-Risk Neonates  | NMC Licenseure Exams  | Set 5",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
,,,,,,,,,,,
RM_PED_OBS_HRN-F-I1,RM_PED_OBS_HRN,INSTANT,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Revision | NMC Licenseure Self-Paced Practice | Set 1",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_PED_OBS_HRN-F-I2,RM_PED_OBS_HRN,INSTANT,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Revision | NMC Licenseure Self-Paced Practice | Set 2",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_PED_OBS_HRN-F-I3,RM_PED_OBS_HRN,INSTANT,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Revision | NMC Licenseure Self-Paced Practice | Set 3",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_PED_OBS_HRN-F-I4,RM_PED_OBS_HRN,INSTANT,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Revision | NMC Licenseure Self-Paced Practice | Set 4",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_PED_OBS_HRN-F-I5,RM_PED_OBS_HRN,INSTANT,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Revision | NMC Licenseure Self-Paced Practice | Set 5",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RM_MID-F-T1,RM_MID,TIMED,Midwifery | NMC Licenseure Exams | Set 1 ,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_MID-F-T2,RM_MID,TIMED,Midwifery | NMC Licenseure Exams | Set 2,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_MID-F-T3,RM_MID,TIMED,Midwifery | NMC Licenseure Exams | Set 3,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_MID-F-T4,RM_MID,TIMED,Midwifery | NMC Licenseure Exams | Set 4,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RM_MID-F-T5,RM_MID,TIMED,Midwifery | NMC Licenseure Exams | Set 5,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
,,,,,,,,,,,
RM_MID-F-I1,RM_MID,INSTANT,Midwifery | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_MID-F-I2,RM_MID,INSTANT,Midwifery | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_MID-F-I3,RM_MID,INSTANT,Midwifery | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_MID-F-I4,RM_MID,INSTANT,Midwifery | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RM_MID-F-I5,RM_MID,INSTANT,Midwifery | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RPHN_PPHN-F-T1,RPHN_PPHN,TIMED,Principles of Public Health Nursing  | NMC Licenseure  Exams  | Set 1,180,10800,,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_PPHN-F-T2,RPHN_PPHN,TIMED,Principles of Public Health Nursing  | NMC Licenseure  Exams  | Set 2,180,10800,,TRUE,student,2026-08-01T00:00:00Z,,
RPHN_PPHN-F-T3,RPHN_PPHN,TIMED,Principles of Public Health Nursing  | NMC Licenseure  Exams  | Set 3,180,10800,,TRUE,student,2026-08-01T00:00:00Z,,
RPHN_PPHN-F-T4,RPHN_PPHN,TIMED,Principles of Public Health Nursing  | NMC Licenseure  Exams  | Set 4,180,10800,,TRUE,student,2026-08-01T00:00:00Z,,
RPHN_PPHN-F-T5,RPHN_PPHN,TIMED,Principles of Public Health Nursing  | NMC Licenseure  Exams  | Set 5,180,10800,,TRUE,student,2026-08-01T00:00:00Z,,
,,,,,,,,,,,
RPHN_PPHN-F-I1,RPHN_PPHN,INSTANT,Principles of Public Health Nursing Revision | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_PPHN-F-I2,RPHN_PPHN,INSTANT,Principles of Public Health Nursing Revision | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RPHN_PPHN-F-I3,RPHN_PPHN,INSTANT,Principles of Public Health Nursing Revision | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RPHN_PPHN-F-I4,RPHN_PPHN,INSTANT,Principles of Public Health Nursing Revision | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RPHN_PPHN-F-I5,RPHN_PPHN,INSTANT,Principles of Public Health Nursing Revision | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RPHN_DISEASE_CTRL-F-T1,RPHN_DISEASE_CTRL,TIMED,Principles of Disease Management & Control  | NMC Licenseure Exams | Set 1,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-T2,RPHN_DISEASE_CTRL,TIMED,Principles of Disease Management & Control  | NMC Licenseure Exams | Set 2,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-T3,RPHN_DISEASE_CTRL,TIMED,Principles of Disease Management & Control  | NMC Licenseure Exams | Set 3,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RPHN_DISEASE_CTRL-F-T4,RPHN_DISEASE_CTRL,TIMED,Principles of Disease Management & Control  | NMC Licenseure Exams | Set 4,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RPHN_DISEASE_CTRL-F-T5,RPHN_DISEASE_CTRL,TIMED,Principles of Disease Management & Control  | NMC Licenseure Exams | Set 5,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
,,,,,,,,,,,
RPHN_DISEASE_CTRL-F-I1,RPHN_DISEASE_CTRL,INSTANT,Principles of Disease Management & Control  Revision | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-I2,RPHN_DISEASE_CTRL,INSTANT,Principles of Disease Management & Control  Revision | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-I3,RPHN_DISEASE_CTRL,INSTANT,Principles of Disease Management & Control  Revision | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-I4,RPHN_DISEASE_CTRL,INSTANT,Principles of Disease Management & Control  Revision | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RPHN_DISEASE_CTRL-F-I5,RPHN_DISEASE_CTRL,INSTANT,Principles of Disease Management & Control  Revision | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RMHN_PSYCH_NURS-F-T1,RMHN_PSYCH_NURS,TIMED,Principles & Practice of Psychiatric Nursing | NMC Licenseure Exams | Set 1 ,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-T2,RMHN_PSYCH_NURS,TIMED,Principles & Practice of Psychiatric Nursing | NMC Licenseure Exams | Set 2,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-T3,RMHN_PSYCH_NURS,TIMED,Principles & Practice of Psychiatric Nursing | NMC Licenseure Exams | Set 3,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RMHN_PSYCH_NURS-F-T4,RMHN_PSYCH_NURS,TIMED,Principles & Practice of Psychiatric Nursing | NMC Licenseure Exams | Set 4,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RMHN_PSYCH_NURS-F-T5,RMHN_PSYCH_NURS,TIMED,Principles & Practice of Psychiatric Nursing | NMC Licenseure Exams | Set 5,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
,,,,,,,,,,,
RMHN_PSYCH_NURS-F-I1,RMHN_PSYCH_NURS,INSTANT,Principles & Practice of Psychiatric Nursing Revision | | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-I2,RMHN_PSYCH_NURS,INSTANT,Principles & Practice of Psychiatric Nursing Revision | | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-I3,RMHN_PSYCH_NURS,INSTANT,Principles & Practice of Psychiatric Nursing Revision | | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-I4,RMHN_PSYCH_NURS,INSTANT,Principles & Practice of Psychiatric Nursing Revision | | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RMHN_PSYCH_NURS-F-I5,RMHN_PSYCH_NURS,INSTANT,Principles & Practice of Psychiatric Nursing Revision | | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RMHN_PSYCH_PPHARM-F-T1,RMHN_PSYCH_PPHARM,TIMED,"Psychiatry, Psychopathology & Psychopharmacology  | NMC Licenseure Exams | Set 1",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-T2,RMHN_PSYCH_PPHARM,TIMED,"Psychiatry, Psychopathology & Psychopharmacology  | NMC Licenseure Exams | Set 2",180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-T3,RMHN_PSYCH_PPHARM,TIMED,"Psychiatry, Psychopathology & Psychopharmacology  | NMC Licenseure Exams | Set 3",180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RMHN_PSYCH_PPHARM-F-T4,RMHN_PSYCH_PPHARM,TIMED,"Psychiatry, Psychopathology & Psychopharmacology  | NMC Licenseure Exams | Set 4",180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
RMHN_PSYCH_PPHARM-F-T5,RMHN_PSYCH_PPHARM,TIMED,"Psychiatry, Psychopathology & Psychopharmacology  | NMC Licenseure Exams | Set 5",180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
,,,,,,,,,,,
RMHN_PSYCH_PPHARM-F-I1,RMHN_PSYCH_PPHARM,INSTANT,"Psychiatry, Psychopathology & Psychopharmacology Revision | NMC Licenseure Self-Paced Practice | Set 1",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-I2,RMHN_PSYCH_PPHARM,INSTANT,"Psychiatry, Psychopathology & Psychopharmacology Revision | NMC Licenseure Self-Paced Practice | Set 2",180,,1,TRUE,student,2025-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-I3,RMHN_PSYCH_PPHARM,INSTANT,"Psychiatry, Psychopathology & Psychopharmacology Revision | NMC Licenseure Self-Paced Practice | Set 3",180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-I4,RMHN_PSYCH_PPHARM,INSTANT,"Psychiatry, Psychopathology & Psychopharmacology Revision | NMC Licenseure Self-Paced Practice | Set 4",180,,1,TRUE,student,2026-08-01T23:59:59Z,,
RMHN_PSYCH_PPHARM-F-I5,RMHN_PSYCH_PPHARM,INSTANT,"Psychiatry, Psychopathology & Psychopharmacology Revision | NMC Licenseure Self-Paced Practice | Set 5",180,,1,TRUE,student,2026-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NAC_BASIC_CLIN-F-T1,NAC_BASIC_CLIN,TIMED,Basic Clinical Nursing Set  | NMC Licenseure Exams | Set 1,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-T2,NAC_BASIC_CLIN,TIMED,Basic Clinical Nursing Set  | NMC Licenseure Exams | Set 2,180,10800,1,TRUE,student,2025-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-T3,NAC_BASIC_CLIN,TIMED,Basic Clinical Nursing Set  | NMC Licenseure Exams | Set 3,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
NAC_BASIC_CLIN-F-T4,NAC_BASIC_CLIN,TIMED,Basic Clinical Nursing Set  | NMC Licenseure Exams | Set 4,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
NAC_BASIC_CLIN-F-T5,NAC_BASIC_CLIN,TIMED,Basic Clinical Nursing Set  | NMC Licenseure Exams | Set 5,180,10800,1,TRUE,student,2026-08-01T00:00:00Z,,
,,,,,,,,,,,
NAC_BASIC_CLIN-F-I1,NAC_BASIC_CLIN,INSTANT,Basic Clinical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-I2,NAC_BASIC_CLIN,INSTANT,Basic Clinical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2025-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-I3,NAC_BASIC_CLIN,INSTANT,Basic Clinical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-I4,NAC_BASIC_CLIN,INSTANT,Basic Clinical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
NAC_BASIC_CLIN-F-I5,NAC_BASIC_CLIN,INSTANT,Basic Clinical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2026-08-01T23:59:59Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GP-L-T1,GP,TIMED,General Paper | NMC Fast Track Mock |  Set 1,100,6000,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-T2,GP,TIMED,General Paper | NMC Fast Track Mock |  Set 2,100,6000,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-T3,GP,TIMED,General Paper | NMC Fast Track Mock |  Set 3,100,6000,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-T4,GP,TIMED,General Paper | NMC Fast Track Mock |  Set 4,100,6000,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-T5,GP,TIMED,General Paper | NMC Fast Track Mock |  Set 5,100,6000,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
GP-L-I1,GP,INSTANT,General Paper Revision | NMC Fast Track | Self-Paced | Set 1,100,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-I2,GP,INSTANT,General Paper Revision | NMC Fast Track | Self-Paced | Set 2,100,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-I3,GP,INSTANT,General Paper Revision | NMC Fast Track | Self-Paced | Set 3,100,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-I4,GP,INSTANT,General Paper Revision | NMC Fast Track | Self-Paced | Set 4,100,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
GP-L-I5,GP,INSTANT,General Paper Revision | NMC Fast Track | Self-Paced | Set 5,100,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,hidden,,,
,,,,,,,,student,,,
,,,,,,,,,,,
,,,,,,,,,,,
RN_MED-L-T1,RN_MED,TIMED,Medical Nursing | NMC Fast Track Mock | Set 1,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-T2,RN_MED,TIMED,Medical Nursing | NMC Fast Track Mock | Set 2,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-T3,RN_MED,TIMED,Medical Nursing | NMC Fast Track Mock | Set 3,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-T4,RN_MED,TIMED,Medical Nursing | NMC Fast Track Mock | Set 4,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-T5,RN_MED,TIMED,Medical Nursing | NMC Fast Track Mock | Set 5,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
RN_MED-L-I1,RN_MED,INSTANT,Medical Nursing Revision | NMC Fast Track | Self-Paced | Set 1,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-I2,RN_MED,INSTANT,Medical Nursing Revision | NMC Fast Track | Self-Paced | Set 2,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-I3,RN_MED,INSTANT,Medical Nursing Revision | NMC Fast Track | Self-Paced | Set 3,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-I4,RN_MED,INSTANT,Medical Nursing Revision | NMC Fast Track | Self-Paced | Set 4,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_MED-L-I5,RN_MED,INSTANT,Medical Nursing Revision | NMC Fast Track | Self-Paced | Set 5,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RN_SURG-L-T1,RN_SURG,TIMED,Surgical Nursing | NMC Fast Track Mock | Set 1,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-T2,RN_SURG,TIMED,Surgical Nursing | NMC Fast Track Mock | Set 2,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-T3,RN_SURG,TIMED,Surgical Nursing | NMC Fast Track Mock | Set 3,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-T4,RN_SURG,TIMED,Surgical Nursing | NMC Fast Track Mock | Set 4,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-T5,RN_SURG,TIMED,Surgical Nursing | NMC Fast Track Mock | Set 5,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
RN_SURG-L-I1,RN_SURG,INSTANT,Surgical Nursing Revision | NMC Fast Track | Self-Paced | Set 1,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-I2,RN_SURG,INSTANT,Surgical Nursing Revision | NMC Fast Track | Self-Paced | Set 2,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-I3,RN_SURG,INSTANT,Surgical Nursing Revision | NMC Fast Track | Self-Paced | Set 3,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-I4,RN_SURG,INSTANT,Surgical Nursing Revision | NMC Fast Track | Self-Paced | Set 4,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RN_SURG-L-I5,RN_SURG,INSTANT,Surgical Nursing Revision | NMC Fast Track | Self-Paced | Set 5,180,,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RM_MID-L-T1,RM_MID,TIMED,Midwifery | NMC Fast Track Mock | Set 1,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RM_MID-L-T2,RM_MID,TIMED,Midwifery | NMC Fast Track Mock | Set 2,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RM_MID-L-T3,RM_MID,TIMED,Midwifery | NMC Fast Track Mock | Set 3,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RM_MID-L-T4,RM_MID,TIMED,Midwifery | NMC Fast Track Mock | Set 4,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
RM_MID-L-T5,RM_MID,TIMED,Midwifery | NMC Fast Track Mock | Set 5,180,10800,1,FALSE,hidden,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
